model,experiment,subject,accuracy,precision,recall,f1
rf,chest_statistical,S14,0.9113924050632911,0.7741935483870968,1.0,0.8727272727272727
rf,chest_statistical,S15,0.75,1.0,0.2,0.3333333333333333
rf,chest_statistical,S16,1.0,1.0,1.0,1.0
rf,chest_statistical,S17,0.7530864197530864,0.8,0.3076923076923077,0.4444444444444444
rf,wrist_acc,S2,0.7922077922077922,0.7333333333333333,0.4782608695652174,0.5789473684210527
rf,wrist_acc,S3,0.8860759493670886,0.9411764705882353,0.6666666666666666,0.7804878048780488
rf,wrist_acc,S4,0.7792207792207793,0.875,0.30434782608695654,0.45161290322580644
rf,wrist_acc,S5,0.7692307692307693,1.0,0.21739130434782608,0.35714285714285715
rf,wrist_acc,S6,0.7468354430379747,1.0,0.16666666666666666,0.2857142857142857
rf,wrist_acc,S7,0.4230769230769231,0.3382352941176471,1.0,0.5054945054945055
rf,wrist_acc,S8,0.675,0.4827586206896552,0.56,0.5185185185185185
rf,wrist_acc,S9,0.8589743589743589,1.0,0.5217391304347826,0.6857142857142857
rf,wrist_acc,S10,0.8765432098765432,1.0,0.6153846153846154,0.7619047619047619
rf,wrist_acc,S11,0.9024390243902439,0.9473684210526315,0.72,0.8181818181818182
rf,wrist_acc,S13,0.9382716049382716,0.8275862068965517,1.0,0.9056603773584906
rf,wrist_acc,S14,0.6962025316455697,0.5,0.5416666666666666,0.52
rf,wrist_acc,S15,0.7625,1.0,0.24,0.3870967741935484
rf,wrist_acc,S16,0.7721518987341772,0.6666666666666666,0.5,0.5714285714285714
rf,wrist_acc,S17,0.7901234567901234,0.68,0.6538461538461539,0.6666666666666666
rf,wrist_eda,S2,0.8441558441558441,0.9230769230769231,0.5217391304347826,0.6666666666666666
rf,wrist_eda,S3,0.759493670886076,0.6923076923076923,0.375,0.4864864864864865
rf,wrist_eda,S4,0.948051948051948,1.0,0.8260869565217391,0.9047619047619048
rf,wrist_eda,S5,0.8076923076923077,0.6538461538461539,0.7391304347826086,0.6938775510204082
rf,wrist_eda,S6,0.810126582278481,0.68,0.7083333333333334,0.6938775510204082
rf,wrist_eda,S7,0.8461538461538461,0.72,0.782608695652174,0.75
rf,wrist_eda,S8,0.9125,1.0,0.72,0.8372093023255814
rf,wrist_eda,S9,0.9743589743589743,1.0,0.9130434782608695,0.9545454545454546
rf,wrist_eda,S10,0.8271604938271605,1.0,0.46153846153846156,0.631578947368421
rf,wrist_eda,S11,0.7439024390243902,0.5555555555555556,0.8,0.6557377049180327
rf,wrist_eda,S13,0.7530864197530864,0.5526315789473685,0.875,0.6774193548387096
rf,wrist_eda,S14,0.6962025316455697,0.0,0.0,0.0
rf,wrist_eda,S15,0.925,0.8518518518518519,0.92,0.8846153846153846
rf,wrist_eda,S16,0.8860759493670886,1.0,0.625,0.7692307692307693
rf,wrist_eda,S17,0.6790123456790124,0.5,0.07692307692307693,0.13333333333333333
rf,wrist_heart,S2,0.7532467532467533,0.6,0.5217391304347826,0.5581395348837209
rf,wrist_heart,S3,0.7468354430379747,0.5714285714285714,0.6666666666666666,0.6153846153846154
rf,wrist_heart,S4,0.8831168831168831,1.0,0.6086956521739131,0.7567567567567568
rf,wrist_heart,S5,0.8974358974358975,0.7586206896551724,0.9565217391304348,0.8461538461538461
rf,wrist_heart,S6,0.7088607594936709,0.5454545454545454,0.25,0.34285714285714286
rf,wrist_heart,S7,0.9487179487179487,0.9130434782608695,0.9130434782608695,0.9130434782608695
rf,wrist_heart,S8,0.9375,1.0,0.8,0.8888888888888888
rf,wrist_heart,S9,0.7307692307692307,0.625,0.21739130434782608,0.3225806451612903
rf,wrist_heart,S10,0.6790123456790124,0.5,0.8846153846153846,0.6388888888888888
rf,wrist_heart,S11,0.8902439024390244,0.9,0.72,0.8
rf,wrist_heart,S13,0.8888888888888888,0.7419354838709677,0.9583333333333334,0.8363636363636363
rf,wrist_heart,S14,0.7341772151898734,0.5517241379310345,0.6666666666666666,0.6037735849056604
rf,wrist_heart,S15,0.7375,0.6111111111111112,0.44,0.5116279069767442
rf,wrist_heart,S16,0.8987341772151899,0.7857142857142857,0.9166666666666666,0.8461538461538461
rf,wrist_heart,S17,0.9629629629629629,0.896551724137931,1.0,0.9454545454545454
rf,wrist_statistical,S2,0.8961038961038961,1.0,0.6521739130434783,0.7894736842105263
rf,wrist_statistical,S3,0.9113924050632911,0.7741935483870968,1.0,0.8727272727272727
rf,wrist_statistical,S4,0.987012987012987,0.9583333333333334,1.0,0.9787234042553191
rf,wrist_statistical,S5,0.8589743589743589,0.9285714285714286,0.5652173913043478,0.7027027027027027
rf,wrist_statistical,S6,0.7974683544303798,0.6666666666666666,0.6666666666666666,0.6666666666666666
rf,wrist_statistical,S7,0.6666666666666666,0.46938775510204084,1.0,0.6388888888888888
rf,wrist_statistical,S8,0.9125,1.0,0.72,0.8372093023255814
rf,wrist_statistical,S9,0.8974358974358975,1.0,0.6521739130434783,0.7894736842105263
rf,wrist_statistical,S10,0.9259259259259259,1.0,0.7692307692307693,0.8695652173913043
rf,wrist_statistical,S11,0.6829268292682927,0.42857142857142855,0.12,0.1875
rf,wrist_statistical,S13,0.9382716049382716,1.0,0.7916666666666666,0.8837209302325582
rf,wrist_statistical,S14,0.7468354430379747,1.0,0.16666666666666666,0.2857142857142857
rf,wrist_statistical,S15,0.825,0.8235294117647058,0.56,0.6666666666666666
rf,wrist_statistical,S16,0.9620253164556962,1.0,0.875,0.9333333333333333
rf,wrist_statistical,S17,0.5555555555555556,0.38636363636363635,0.6538461538461539,0.4857142857142857
rf,chest_all,S2,0.7532467532467533,0.75,0.2608695652173913,0.3870967741935484
rf,chest_all,S3,0.8987341772151899,0.9444444444444444,0.7083333333333334,0.8095238095238095
rf,chest_all,S4,0.7532467532467533,1.0,0.17391304347826086,0.2962962962962963
rf,chest_all,S5,0.8589743589743589,0.6764705882352942,1.0,0.8070175438596491
rf,chest_all,S6,0.9746835443037974,1.0,0.9166666666666666,0.9565217391304348
rf,chest_all,S7,0.9743589743589743,0.9565217391304348,0.9565217391304348,0.9565217391304348
rf,chest_all,S8,0.975,1.0,0.92,0.9583333333333334
rf,chest_all,S9,0.8717948717948718,0.8095238095238095,0.7391304347826086,0.7727272727272727
rf,chest_all,S10,0.7777777777777778,1.0,0.3076923076923077,0.47058823529411764
rf,chest_all,S11,0.926829268292683,0.8064516129032258,1.0,0.8928571428571429
rf,chest_all,S13,0.9012345679012346,1.0,0.6666666666666666,0.8
rf,chest_all,S14,0.9367088607594937,0.8275862068965517,1.0,0.9056603773584906
rf,chest_all,S15,0.7375,1.0,0.16,0.27586206896551724
rf,chest_all,S16,1.0,1.0,1.0,1.0
rf,chest_all,S17,0.8518518518518519,0.85,0.6538461538461539,0.7391304347826086
rf,wrist_all,S2,0.9090909090909091,1.0,0.6956521739130435,0.8205128205128205
rf,wrist_all,S3,0.9240506329113924,0.8,1.0,0.8888888888888888
rf,wrist_all,S4,1.0,1.0,1.0,1.0
rf,wrist_all,S5,0.9230769230769231,0.9473684210526315,0.782608695652174,0.8571428571428571
rf,wrist_all,S6,0.8734177215189873,0.85,0.7083333333333334,0.7727272727272727
rf,wrist_all,S7,0.782051282051282,0.575,1.0,0.7301587301587301
rf,wrist_all,S8,0.9375,1.0,0.8,0.8888888888888888
rf,wrist_all,S9,0.8846153846153846,1.0,0.6086956521739131,0.7567567567567568
rf,wrist_all,S10,0.9382716049382716,1.0,0.8076923076923077,0.8936170212765957
rf,wrist_all,S11,0.8170731707317073,0.9166666666666666,0.44,0.5945945945945946
rf,wrist_all,S13,0.9382716049382716,1.0,0.7916666666666666,0.8837209302325582
rf,wrist_all,S14,0.810126582278481,1.0,0.375,0.5454545454545454
rf,wrist_all,S15,0.85,0.9333333333333333,0.56,0.7
rf,wrist_all,S16,1.0,1.0,1.0,1.0
rf,wrist_all,S17,0.8395061728395061,0.8823529411764706,0.5769230769230769,0.6976744186046512
svm,chest_acc,S2,0.8441558441558441,0.72,0.782608695652174,0.75
svm,chest_acc,S3,0.7974683544303798,0.625,0.8333333333333334,0.7142857142857143
svm,chest_acc,S4,0.987012987012987,0.9583333333333334,1.0,0.9787234042553191
svm,chest_acc,S5,0.9487179487179487,0.9130434782608695,0.9130434782608695,0.9130434782608695
svm,chest_acc,S6,0.8354430379746836,0.7894736842105263,0.625,0.6976744186046512
svm,chest_acc,S7,0.6025641025641025,0.42592592592592593,1.0,0.5974025974025974
svm,chest_acc,S8,0.875,0.7777777777777778,0.84,0.8076923076923077
svm,chest_acc,S9,0.7307692307692307,0.5454545454545454,0.5217391304347826,0.5333333333333333
svm,chest_acc,S10,0.7901234567901234,0.6153846153846154,0.9230769230769231,0.7384615384615385
svm,chest_acc,S11,0.7317073170731707,0.5365853658536586,0.88,0.6666666666666666
svm,chest_acc,S13,0.654320987654321,0.4473684210526316,0.7083333333333334,0.5483870967741935
svm,chest_acc,S14,0.6329113924050633,0.4444444444444444,0.8333333333333334,0.5797101449275363
svm,chest_acc,S15,0.65,0.4117647058823529,0.28,0.3333333333333333
svm,chest_acc,S16,0.9240506329113924,0.8,1.0,0.8888888888888888
svm,chest_acc,S17,0.8518518518518519,0.6944444444444444,0.9615384615384616,0.8064516129032258
svm,chest_eda,S2,0.8701298701298701,0.7407407407407407,0.8695652173913043,0.8
svm,chest_eda,S3,0.7974683544303798,0.6666666666666666,0.6666666666666666,0.6666666666666666
svm,chest_eda,S4,0.974025974025974,0.92,1.0,0.9583333333333334
svm,chest_eda,S5,0.7435897435897436,0.5348837209302325,1.0,0.696969696969697
svm,chest_eda,S6,0.8354430379746836,0.6486486486486487,1.0,0.7868852459016393
svm,chest_eda,S7,0.6025641025641025,0.42592592592592593,1.0,0.5974025974025974
svm,chest_eda,S8,0.7875,0.9,0.36,0.5142857142857142
svm,chest_eda,S9,0.7564102564102564,0.5476190476190477,1.0,0.7076923076923077
