model,experiment,subject,accuracy,precision,recall,f1
rf,wrist_all,S11,0.9104477611940298,1.0,0.76,0.8636363636363636
rf,wrist_all,S13,0.9090909090909091,1.0,0.75,0.8571428571428571
rf,wrist_all,S14,0.765625,1.0,0.375,0.5454545454545454
rf,wrist_all,S15,0.9242424242424242,1.0,0.8,0.8888888888888888
rf,wrist_all,S16,1.0,1.0,1.0,1.0
rf,wrist_all,S17,0.835820895522388,0.8571428571428571,0.6923076923076923,0.7659574468085106
svm,chest_acc,S2,0.873015873015873,0.8571428571428571,0.782608695652174,0.8181818181818182
svm,chest_acc,S3,0.796875,0.8666666666666667,0.5416666666666666,0.6666666666666666
svm,chest_acc,S4,1.0,1.0,1.0,1.0
svm,chest_acc,S5,0.953125,0.9166666666666666,0.9565217391304348,0.9361702127659575
svm,chest_acc,S6,0.8923076923076924,0.9047619047619048,0.7916666666666666,0.8444444444444444
svm,chest_acc,S7,0.546875,0.4423076923076923,1.0,0.6133333333333333
svm,chest_acc,S8,0.7727272727272727,0.65625,0.84,0.7368421052631579
svm,chest_acc,S9,0.8125,0.7619047619047619,0.6956521739130435,0.7272727272727273
svm,chest_acc,S10,0.7761194029850746,0.6341463414634146,1.0,0.7761194029850746
svm,chest_acc,S11,0.835820895522388,0.6944444444444444,1.0,0.819672131147541
svm,chest_acc,S13,0.8181818181818182,0.75,0.75,0.75
svm,chest_acc,S14,0.484375,0.40425531914893614,0.7916666666666666,0.5352112676056338
svm,chest_acc,S15,0.6515151515151515,0.5714285714285714,0.32,0.41025641025641024
svm,chest_acc,S16,0.9692307692307692,0.9230769230769231,1.0,0.96
svm,chest_acc,S17,0.9850746268656716,1.0,0.9615384615384616,0.9803921568627451
svm,chest_eda,S2,0.8412698412698413,0.7407407407407407,0.8695652173913043,0.8
svm,chest_eda,S3,0.78125,0.75,0.625,0.6818181818181818
svm,chest_eda,S4,0.9841269841269841,0.9583333333333334,1.0,0.9787234042553191
svm,chest_eda,S5,0.890625,0.7666666666666667,1.0,0.8679245283018868
svm,chest_eda,S6,0.8923076923076924,0.7741935483870968,1.0,0.8727272727272727
svm,chest_eda,S7,0.359375,0.359375,1.0,0.5287356321839081
svm,chest_eda,S8,0.7272727272727273,0.7333333333333333,0.44,0.55
svm,chest_eda,S9,0.84375,0.696969696969697,1.0,0.8214285714285714
svm,chest_eda,S10,0.7910447761194029,1.0,0.46153846153846156,0.631578947368421
svm,chest_eda,S11,0.7611940298507462,0.7647058823529411,0.52,0.6190476190476191
svm,chest_eda,S13,0.6363636363636364,0.5,0.7083333333333334,0.5862068965517241
svm,chest_eda,S14,0.59375,0.42857142857142855,0.25,0.3157894736842105
svm,chest_eda,S15,0.696969696969697,0.7272727272727273,0.32,0.4444444444444444
svm,chest_eda,S16,1.0,1.0,1.0,1.0
svm,chest_eda,S17,0.5671641791044776,0.4,0.23076923076923078,0.2926829268292683
svm,chest_emg,S2,0.3968253968253968,0.3770491803278688,1.0,0.5476190476190477
svm,chest_emg,S3,0.59375,0.4,0.16666666666666666,0.23529411764705882
svm,chest_emg,S4,0.5714285714285714,0.4090909090909091,0.391304347826087,0.4
svm,chest_emg,S5,0.5625,0.391304347826087,0.391304347826087,0.391304347826087
svm,chest_emg,S6,0.676923076923077,0.6363636363636364,0.2916666666666667,0.4
svm,chest_emg,S7,0.34375,0.32075471698113206,0.7391304347826086,0.4473684210526316
svm,chest_emg,S8,0.7424242424242424,0.625,0.8,0.7017543859649122
svm,chest_emg,S9,0.34375,0.3492063492063492,0.9565217391304348,0.5116279069767442
svm,chest_emg,S10,0.5970149253731343,0.48484848484848486,0.6153846153846154,0.5423728813559322
svm,chest_emg,S11,0.835820895522388,0.85,0.68,0.7555555555555555
svm,chest_emg,S13,0.45454545454545453,0.39285714285714285,0.9166666666666666,0.55
svm,chest_emg,S14,0.765625,0.6153846153846154,1.0,0.7619047619047619
svm,chest_emg,S15,0.7727272727272727,0.75,0.6,0.6666666666666666
svm,chest_emg,S16,0.38461538461538464,0.36666666666666664,0.9166666666666666,0.5238095238095238
svm,chest_emg,S17,0.6716417910447762,0.7,0.2692307692307692,0.3888888888888889
svm,chest_heart,S2,0.6190476190476191,0.45454545454545453,0.21739130434782608,0.29411764705882354
svm,chest_heart,S3,0.875,0.9444444444444444,0.7083333333333334,0.8095238095238095
svm,chest_heart,S4,0.8253968253968254,1.0,0.5217391304347826,0.6857142857142857
svm,chest_heart,S5,0.6875,1.0,0.13043478260869565,0.23076923076923078
svm,chest_heart,S6,0.8923076923076924,0.9473684210526315,0.75,0.8372093023255814
svm,chest_heart,S7,0.71875,0.7272727272727273,0.34782608695652173,0.47058823529411764
svm,chest_heart,S8,0.9242424242424242,0.8846153846153846,0.92,0.9019607843137255
svm,chest_heart,S9,0.8125,0.7894736842105263,0.6521739130434783,0.7142857142857143
svm,chest_heart,S10,0.4925373134328358,0.43333333333333335,1.0,0.6046511627906976
svm,chest_heart,S11,0.8656716417910447,0.7352941176470589,1.0,0.847457627118644
svm,chest_heart,S13,0.7121212121212122,0.5581395348837209,1.0,0.7164179104477612
svm,chest_heart,S14,1.0,1.0,1.0,1.0
svm,chest_heart,S15,0.7575757575757576,0.6363636363636364,0.84,0.7241379310344828
svm,chest_heart,S16,1.0,1.0,1.0,1.0
svm,chest_heart,S17,0.9253731343283582,0.8387096774193549,1.0,0.9122807017543859
svm,chest_statistical,S2,0.5714285714285714,0.0,0.0,0.0
svm,chest_statistical,S3,0.6875,0.8333333333333334,0.20833333333333334,0.3333333333333333
svm,chest_statistical,S4,0.6507936507936508,1.0,0.043478260869565216,0.08333333333333333
svm,chest_statistical,S5,0.96875,0.92,1.0,0.9583333333333334
svm,chest_statistical,S6,0.9846153846153847,1.0,0.9583333333333334,0.9787234042553191
svm,chest_statistical,S7,0.484375,0.4074074074074074,0.9565217391304348,0.5714285714285714
svm,chest_statistical,S8,0.9696969696969697,1.0,0.92,0.9583333333333334
svm,chest_statistical,S9,0.859375,0.9375,0.6521739130434783,0.7692307692307693
svm,chest_statistical,S10,0.6865671641791045,0.5531914893617021,1.0,0.7123287671232876
svm,chest_statistical,S11,0.9701492537313433,0.9259259259259259,1.0,0.9615384615384616
